,RA,DEC,NAME,TYPE,RMAG,BMAG,COMMENT,R,B,Z,CITE,ZCITE,RXPCT,QPCT,XNAME,RNAME,LOBE1,LOBE2
0,0.0001707,27.7728782,b'J000000.04+274622.3      ',b'R   ',21.47,22.44,b'gG ',b'-',b'-',,b'MQ    ',b'      ',94,72,b'                      ',b'ILTJ240000.00+274622.1',b'                      ',b'                      '
1,0.0002102,37.190596,b'J000000.05+371126.1      ',b'R   ',19.75,20.54,b'jN ',b'-',b'1',,b'MQ    ',b'      ',79,55,b'                      ',b'ILTJ000000.20+371125.6',b'                      ',b'                      '
2,0.0004167,33.9321723,b'J000000.10+335555.8      ',b'R   ',20.08,21.47,b'pN ',b'1',b'-',0.3,b'MQ    ',b'MQ    ',96,53,b'                      ',b'ILTJ000000.17+335555.6',b'                      ',b'                      '
3,0.0006286,35.5178439,b'SDSS J000000.15+353104.2 ',b'Q   ',17.93,19.0,b'pG ',b'-',b'-',0.845,b'DR16Q ',b'DR16  ',,,b'                      ',b'                      ',b'                      ',b'                      '
4,0.0006575,-20.074344,b'UVQSJ000000.15-200427.7  ',b'AX  ',17.9,18.46,b'pG ',b'-',b'1',0.291,b'UVQS  ',b'UVQS  ',99,94,b'2SXPS J000000.1-200427',b'                      ',b'                      ',b'                      '
5,0.0014503,31.0570374,b'SDSS J000000.33+310325.3 ',b'Q   ',19.95,21.29,b'jN ',b'-',b'-',2.035,b'DR16Q ',b'DR16  ',,,b'                      ',b'                      ',b'                      ',b'                      '
6,0.0015265,27.7322834,b'SDSS J000000.36+274356.2 ',b'Q   ',21.75,21.91,b'g  ',b'-',b'-',1.771,b'DR16Q ',b'DR16  ',,,b'                      ',b'                      ',b'                      ',b'                      '
7,0.0015354,7.0641294,b'SDSS J000000.36+070350.8 ',b'Q   ',21.87,22.11,b'g  ',b'-',b'-',1.574,b'DR16Q ',b'DR16  ',,,b'                      ',b'                      ',b'                      ',b'                      '
8,0.0018983,17.7737392,b'SDSS J000000.45+174625.4 ',b'Q   ',22.07,21.91,b'g  ',b'-',b'-',2.309,b'DR16Q ',b'DR16Q ',,,b'                      ',b'                      ',b'                      ',b'                      '
9,0.0019186,9.3856563,b'SDSS J000000.45+092308.2 ',b'Q   ',18.58,18.87,b'pG ',b'-',b'-',2.024,b'DR16Q ',b'DR16  ',,,b'                      ',b'                      ',b'                      ',b'                      '
10,0.0019784,-0.4510884,b'SDSS J000000.47-002703.9 ',b'A   ',20.51,21.19,b'ga ',b'-',b'-',0.25,b'DR16Q ',b'DR16Q ',,,b'                      ',b'                      ',b'                      ',b'                      '
11,0.0021174,-55.3604489,b'Gaia 4923635334291590528 ',b'X   ',19.57,20.97,b'jG ',b'-',b'-',2.6,b'GAIA3 ',b'GAIA3 ',96,77,b'4XMM J000000.5-552138 ',b'                      ',b'                      ',b'                      '
12,0.0024158,5.941882,b'SDSS J000000.57+055630.8 ',b'Q   ',21.34,21.62,b'gN ',b'-',b'-',2.103,b'DR16Q ',b'DR16  ',,,b'                      ',b'                      ',b'                      ',b'                      '
13,0.0025788,31.3289781,b'SDSS J000000.62+311944.3 ',b'Q   ',19.38,20.03,b'pG ',b'-',b'-',1.991,b'DR16Q ',b'DR16  ',,,b'                      ',b'                      ',b'                      ',b'                      '
14,0.0027644,14.9746807,b'SDSS J000000.66+145828.8 ',b'Q   ',20.89,21.22,b'gG ',b'-',b'1',2.497,b'DR16Q ',b'DR16Q ',,,b'                      ',b'                      ',b'                      ',b'                      '
15,0.0030062,30.9662614,b'SDSS J000000.72+305758.5 ',b'Q   ',21.04,21.47,b'gN ',b'-',b'-',1.623,b'DR16Q ',b'DR16  ',,,b'                      ',b'                      ',b'                      ',b'                      '
16,0.0031742,5.2627357,b'SDSS J000000.76+051545.8 ',b'Q   ',22.03,22.13,b'g  ',b'-',b'-',1.548,b'DR16Q ',b'DR16  ',,,b'                      ',b'                      ',b'                      ',b'                      '
17,0.0032493,11.7076422,b'LAMOSTJ000000.77+114227.5',b'Q   ',18.26,19.09,b'pG ',b'-',b'-',0.508,b'LAMQ3 ',b'LAMQ3 ',,,b'                      ',b'                      ',b'                      ',b'                      '
18,0.0036467,-57.9750214,b'Gaia 4919344009128414848 ',b'X   ',19.51,20.31,b'jG ',b'-',b'-',1.5,b'GAIA3 ',b'GAIA3 ',75,73,b'CXOX J000000.4-575829 ',b'                      ',b'                      ',b'                      '
19,0.0037807,1.28156,b'SDSS J000000.90+011653.6 ',b'N   ',18.39,21.05,b'pa ',b'1',b'1',0.251,b'DR16  ',b'DR16  ',,,b'                      ',b'                      ',b'                      ',b'                      '
20,0.0040756,4.8297891,b'SDSS J000000.97+044947.2 ',b'Q   ',19.63,19.95,b'gG ',b'1',b'-',1.619,b'DR16Q ',b'DR16Q ',,,b'                      ',b'                      ',b'                      ',b'                      '
21,0.0042343,8.072944,b'SDSS J000001.01+080422.5 ',b'Q   ',19.83,21.01,b'pG ',b'1',b'-',0.857,b'DR16Q ',b'DR16  ',,,b'                      ',b'                      ',b'                      ',b'                      '
22,0.0045479,29.8735815,b'SDSS J000001.08+295225.0 ',b'Q   ',18.11,21.48,b'pN ',b'1',b'-',1.496,b'DR16Q ',b'DR16  ',,,b'                      ',b'                      ',b'                      ',b'                      '
23,0.0050341,24.0651552,b'SDSS J000001.20+240354.5 ',b'Q   ',20.91,21.49,b'gN ',b'-',b'-',1.616,b'DR16Q ',b'DR16  ',,,b'                      ',b'                      ',b'                      ',b'                      '
24,0.0051343,36.0948485,b'SDSS J000001.23+360541.5 ',b'Q   ',21.81,22.03,b'gN ',b'-',b'-',1.616,b'DR16Q ',b'DR16  ',,,b'                      ',b'                      ',b'                      ',b'                      '
25,0.0052954,7.0246577,b'KX 208                   ',b'Q   ',18.22,18.68,b'pG ',b'-',b'-',1.227,b'1135  ',b'1135  ',,,b'                      ',b'                      ',b'                      ',b'                      '
26,0.0053239,-2.0332551,b'FBQS J00000-0202         ',b'QR  ',19.22,19.98,b'gG ',b'-',b'-',1.36,b'0145  ',b'DR16Q ',100,88,b'                      ',b'FIRST J000001.2-020200',b'RACS J000001.1-020201 ',b'                      '
27,0.0056121,11.3416043,b'SDSS J000001.33+112029.8 ',b'Q   ',21.62,21.77,b'gN ',b'-',b'-',0.538,b'DR16Q ',b'DR16  ',,,b'                      ',b'                      ',b'                      ',b'                      '
28,0.0057075,-30.6074297,b'2QZ J000001.3-303627     ',b'Q   ',18.96,20.39,b'pG ',b'-',b'-',1.143,b'2QZ   ',b'2QZ   ',,,b'                      ',b'                      ',b'                      ',b'                      '
