file_name,count_in_file,x_center,y_center,bristol
001.bmp,1,155,195,3
001.bmp,2,307,398,3
002.bmp,1,276,233,6
003.bmp,1,227,140,1
004.bmp,1,261,260,4
011.bmp,1,375,193,6
012.bmp,1,288,231,1
012.bmp,2,239,280,1
013.bmp,1,260,283,6
014.bmp,1,210,307,4
021.bmp,1,310,260,4
022.bmp,1,354,295,7
023.bmp,1,306,312,6
024.bmp,1,259,240,7
031.bmp,1,299,202,4
032.bmp,1,92,218,7
033.bmp,1,218,343,6
034.bmp,1,221,331,4
041.bmp,1,234,230,7
042.bmp,1,199,212,1
042.bmp,2,296,255,1
043.bmp,1,236,367,4
044.bmp,1,270,201,4
